"Label (Grouping)","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","14,644,735","±1,665","14,644,735","(X)"
"        Occupied housing units","13,548,091","±17,724","92.5%","±0.1"
"        Vacant housing units","1,096,644","±18,928","7.5%","±0.1"
"        Homeowner vacancy rate","0.8","±0.1","(X)","(X)"
"        Rental vacancy rate","4.2","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","14,644,735","±1,665","14,644,735","(X)"
"        1-unit, detached","8,354,468","±15,410","57.0%","±0.1"
"        1-unit, attached","1,086,039","±7,689","7.4%","±0.1"
"        2 units","347,495","±4,672","2.4%","±0.1"
"        3 or 4 units","795,496","±7,071","5.4%","±0.1"
"        5 to 9 units","829,988","±7,658","5.7%","±0.1"
"        10 to 19 units","712,049","±6,641","4.9%","±0.1"
"        20 or more units","1,985,885","±9,793","13.6%","±0.1"
"        Mobile home","513,758","±5,410","3.5%","±0.1"
"        Boat, RV, van, etc.","19,557","±1,146","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","14,644,735","±1,665","14,644,735","(X)"
"        Built 2020 or later","195,611","±3,334","1.3%","±0.1"
"        Built 2010 to 2019","957,313","±7,494","6.5%","±0.1"
"        Built 2000 to 2009","1,638,011","±8,836","11.2%","±0.1"
"        Built 1990 to 1999","1,476,412","±7,574","10.1%","±0.1"
"        Built 1980 to 1989","2,181,250","±11,190","14.9%","±0.1"
"        Built 1970 to 1979","2,458,155","±10,185","16.8%","±0.1"
"        Built 1960 to 1969","1,832,209","±10,438","12.5%","±0.1"
"        Built 1950 to 1959","1,818,827","±9,729","12.4%","±0.1"
"        Built 1940 to 1949","787,955","±6,701","5.4%","±0.1"
"        Built 1939 or earlier","1,298,992","±8,017","8.9%","±0.1"
"ROOMS","","","",""
"    Total housing units","14,644,735","±1,665","14,644,735","(X)"
"        1 room","644,802","±6,856","4.4%","±0.1"
"        2 rooms","684,042","±7,006","4.7%","±0.1"
"        3 rooms","1,749,523","±10,843","11.9%","±0.1"
"        4 rooms","2,805,936","±13,520","19.2%","±0.1"
"        5 rooms","2,747,385","±13,318","18.8%","±0.1"
"        6 rooms","2,446,831","±11,886","16.7%","±0.1"
"        7 rooms","1,473,027","±8,185","10.1%","±0.1"
"        8 rooms","1,066,404","±8,788","7.3%","±0.1"
"        9 rooms or more","1,026,785","±9,698","7.0%","±0.1"
"        Median rooms","5.0","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","14,644,735","±1,665","14,644,735","(X)"
"        No bedroom","731,748","±6,786","5.0%","±0.1"
"        1 bedroom","1,927,852","±11,987","13.2%","±0.1"
"        2 bedrooms","3,937,754","±15,411","26.9%","±0.1"
"        3 bedrooms","4,809,824","±14,195","32.8%","±0.1"
"        4 bedrooms","2,579,869","±11,686","17.6%","±0.1"
"        5 or more bedrooms","657,688","±6,401","4.5%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","13,548,091","±17,724","13,548,091","(X)"
"        Owner-occupied","7,567,568","±37,334","55.9%","±0.2"
"        Renter-occupied","5,980,523","±22,985","44.1%","±0.2"
"        Average household size of owner-occupied unit","2.95","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.69","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","13,548,091","±17,724","13,548,091","(X)"
"        Moved in 2023 or later","575,950","±8,107","4.3%","±0.1"
"        Moved in 2020 to 2022","2,585,494","±10,534","19.1%","±0.1"
"        Moved in 2010 to 2019","5,577,822","±17,699","41.2%","±0.1"
"        Moved in 2000 to 2009","2,300,218","±12,641","17.0%","±0.1"
"        Moved in 1990 to 1999","1,309,912","±8,564","9.7%","±0.1"
"        Moved in 1989 and earlier","1,198,695","±8,188","8.8%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","13,548,091","±17,724","13,548,091","(X)"
"        No vehicles available","959,291","±7,826","7.1%","±0.1"
