zip_code,zcta
99553,99553.0
99571,99571.0
99583,99583.0
99612,99612.0
99661,99661.0
99546,99546.0
99547,99547.0
99591,99591.0
99638,99638.0
99660,99660.0
99685,99685.0
99692,99692.0
99501,99501.0
99502,99502.0
99503,99503.0
99504,99504.0
99505,99505.0
99506,99506.0
99507,99507.0
99508,99508.0
99509,99501.0
99510,99510.0
99511,99516.0
99513,99513.0
99514,99501.0
99515,99515.0
99516,99516.0
99517,99517.0
99518,99518.0
99519,99519.0
99520,99501.0
99521,99501.0
99522,99501.0
99523,99501.0
99524,99501.0
99529,99502.0
99530,99502.0
99540,99540.0
99567,99567.0
99577,99577.0
99587,99587.0
99599,99503.0
99695,99695.0
99545,99559.0
99551,99551.0
99552,99552.0
99557,99557.0
99559,99559.0
99561,99561.0
99575,99575.0
99578,99578.0
99589,99589.0
99607,99607.0
99609,99609.0
99614,99614.0
99621,99621.0
99622,99622.0
99626,99626.0
99630,99630.0
99634,99634.0
99637,99637.0
99641,99641.0
99651,99651.0
99655,99655.0
99656,99656.0
99668,99668.0
99679,99679.0
99680,99680.0
99681,99681.0
99690,99690.0
99613,99613.0
99633,99633.0
99670,99670.0
99704,99704.0
99729,99729.0
99743,99743.0
99744,99744.0
99755,99755.0
99555,99555.0
99569,99569.0
99576,99576.0
99580,99580.0
99628,99628.0
99636,99636.0
99678,99678.0
99701,99701.0
99702,99702.0
99703,99703.0
99705,99705.0
99706,99706.0
99707,99701.0
99708,99709.0
99709,99709.0
99710,99701.0
99711,99701.0
99712,99712.0
99714,99714.0
99716,99712.0
99725,99709.0
99775,99775.0
99790,99790.0
99827,99827.0
99801,99801.0
99802,99801.0
99803,99801.0
99811,99801.0
99812,99801.0
99821,99801.0
99824,99824.0
99850,99801.0
99556,99556.0
99568,99568.0
99572,99572.0
99603,99603.0
99605,99605.0
99610,99610.0
99611,99611.0
99631,99631.0
99635,99611.0
99639,99639.0
99663,99663.0
99664,99664.0
99669,99669.0
99672,99672.0
99682,99682.0
99901,99901.0
99928,99901.0
99950,99901.0
99550,99550.0
99608,99615.0
99615,99615.0
99619,99615.0
99624,99624.0
99643,99643.0
99644,99644.0
99697,99615.0
99554,99554.0
99563,99563.0
99581,99581.0
99585,99585.0
99604,99604.0
99620,99620.0
99632,99632.0
99650,99650.0
99657,99657.0
99658,99658.0
99662,99662.0
99666,99666.0
99548,99548.0
99549,99549.0
99564,99564.0
99565,99565.0
99579,99579.0
99606,99606.0
99625,99625.0
99640,99640.0
99647,99647.0
99648,99648.0
99649,99649.0
99653,99653.0
99623,99654.0
99629,99654.0
99645,99645.0
99652,99652.0
99654,99654.0
99667,99667.0
99674,99674.0
99676,99676.0
99683,99683.0
99687,99654.0
99688,99688.0
99694,99694.0
99659,99659.0
99671,99671.0
99684,99684.0
99739,99739.0
99742,99742.0
99753,99753.0
99762,99762.0
99769,99769.0
99771,99771.0
99772,99772.0
99778,99778.0
99783,99783.0
99784,99784.0
99785,99785.0
99721,99721.0
99723,99723.0
99734,99734.0
99747,99747.0
99759,99759.0
99766,99766.0
99782,99782.0
99789,99789.0
99791,99791.0
99727,99727.0
99736,99736.0
99749,99749.0
99750,99750.0
99751,99751.0
99752,99752.0
99761,99761.0
99763,99763.0
99770,99770.0
99773,99773.0
99786,99786.0
99903,99903.0
99918,99918.0
99919,99919.0
