zcta,median_household_income,poverty_rate,unemployment_rate
00601,19454.0,56.3,33.3
00602,21420.0,43.6,36.7
00603,20933.0,40.4,34.4
00606,20992.0,51.1,34.6
00610,24496.0,39.6,43.9
00611,20360.0,33.7,44.0
00612,24488.0,36.3,37.2
00616,21846.0,42.0,33.3
00617,25013.0,41.0,42.7
00622,26585.0,38.6,38.4
00623,26388.0,33.5,41.4
00624,22979.0,49.4,38.9
00627,27411.0,34.5,43.4
00631,19278.0,51.9,29.4
00636,,52.7,33.1
00637,21987.0,43.7,34.8
00638,22610.0,50.1,31.3
00641,21102.0,47.3,33.0
00646,36265.0,24.6,43.6
00647,20023.0,62.4,33.6
00650,21447.0,46.4,36.6
00652,35383.0,26.6,45.7
00653,16736.0,63.2,32.2
00656,24065.0,40.8,34.0
00659,27513.0,35.2,41.6
00660,26851.0,32.8,39.6
00662,23299.0,39.3,36.2
00664,21767.0,46.3,36.0
00667,19534.0,50.2,35.7
00669,18778.0,53.9,37.4
00670,16367.0,56.9,34.1
00674,22537.0,38.2,37.0
00676,23272.0,44.0,37.9
00677,24266.0,42.2,37.5
00678,23874.0,40.7,35.9
00680,17896.0,46.9,32.9
00682,18793.0,44.5,34.0
00683,18543.0,43.6,31.8
00685,20310.0,45.0,33.5
00687,25003.0,40.5,42.1
00688,18023.0,46.4,34.1
00690,25755.0,46.2,41.7
00692,25568.0,38.9,40.0
00693,24596.0,38.0,39.2
00694,16094.0,55.2,10.4
00698,24310.0,37.6,37.6
00703,23292.0,46.2,42.2
00704,20899.0,45.4,39.6
00705,21712.0,41.3,35.3
00707,17750.0,50.0,32.1
00714,21186.0,52.2,36.5
00715,22670.0,59.9,28.2
00716,20652.0,43.5,36.5
00717,13602.0,45.6,31.5
00718,23487.0,43.1,40.6
00719,22129.0,49.5,37.8
00720,20151.0,47.7,34.4
00723,24574.0,45.9,33.3
00725,29575.0,35.8,44.4
00727,34094.0,31.0,47.3
00728,23031.0,47.3,34.6
00729,31239.0,28.8,46.6
00730,18089.0,49.1,30.2
00731,18736.0,53.2,33.3
00735,25243.0,36.9,38.4
00736,29971.0,31.5,41.8
00738,25531.0,39.5,41.9
00739,29463.0,32.2,41.0
00740,26027.0,46.0,39.6
00741,26585.0,37.0,33.8
00745,29268.0,31.1,44.7
00751,21952.0,41.9,38.0
00754,22964.0,40.7,40.7
00757,25938.0,39.9,45.3
00765,19803.0,56.2,41.7
00766,26234.0,35.3,37.2
00767,23054.0,43.1,33.4
00769,21829.0,44.2,39.2
00771,24891.0,37.1,41.0
00772,18945.0,51.1,34.0
00773,24225.0,40.4,40.8
00775,29630.0,15.2,58.9
00777,29928.0,31.3,47.1
00778,42178.0,27.4,50.3
00780,27967.0,38.1,45.1
00782,16896.0,49.5,34.9
00783,23914.0,45.0,39.7
00784,20558.0,46.4,36.4
00786,,0.0,35.2
00791,27034.0,31.4,37.1
00794,23899.0,47.4,39.4
00795,24602.0,40.9,38.5
00901,27557.0,28.6,42.5
00906,,,32.7
00907,41615.0,16.8,50.4
00909,23101.0,43.6,50.3
00911,42382.0,27.6,52.1
00912,31636.0,29.0,54.7
00913,7049.0,73.4,33.8
00915,16590.0,60.9,39.2
00917,19357.0,46.8,38.0
00918,39287.0,21.1,47.7
00920,30259.0,32.1,49.1
00921,23598.0,47.4,46.1
00923,20349.0,45.1,42.8
00924,25724.0,36.7,44.9
00925,17404.0,49.1,53.6
00926,40606.0,24.0,48.6
00927,38728.0,19.9,48.6
00934,,0.0,50.0
00949,34563.0,28.1,50.7
00950,,,
00951,22669.0,28.4,40.7
00952,22288.0,35.2,43.1
00953,36099.0,29.8,49.9
00956,29280.0,34.2,45.0
00957,29913.0,31.8,43.0
00959,31572.0,30.0,46.8
00960,,,0.1
00961,39393.0,24.1,44.9
00962,21288.0,43.6,38.1
00965,19136.0,48.4,27.2
00966,60203.0,18.3,51.5
00968,58869.0,6.1,47.4
00969,61101.0,18.2,51.5
00971,29526.0,26.6,46.0
00976,39901.0,26.2,48.1
00979,40049.0,18.5,49.5
00982,28906.0,36.7,43.4
00983,35638.0,28.6,47.6
00985,33863.0,24.4,42.0
00987,43159.0,21.7,52.2
01001,75342.0,4.5,58.9
01002,70818.0,7.2,60.0
01003,,0.0,30.7
01005,111148.0,9.1,61.9
01007,108125.0,5.0,65.3
01008,97554.0,3.2,58.6
01009,72841.0,8.2,50.2
01010,111250.0,0.9,61.0
01011,89299.0,1.0,66.6
01012,83333.0,12.5,68.8
01013,59759.0,15.9,59.4
01020,66009.0,13.9,55.4
01022,51373.0,9.7,46.9
01026,92250.0,0.7,55.8
01027,74146.0,4.1,60.8
01028,106424.0,2.4,62.7
01029,107679.0,0.0,53.4
01030,93815.0,3.1,61.4
01031,60517.0,16.1,60.0
01032,97500.0,7.1,64.0
01033,119297.0,3.8,69.1
01034,91016.0,6.8,55.3
01035,119259.0,0.0,59.4
01036,104536.0,1.1,59.0
01037,74722.0,0.0,33.2
01038,106635.0,3.2,64.6
01039,116429.0,1.2,70.0
01040,53605.0,22.8,50.1
01050,95882.0,4.8,71.0
01053,92582.0,1.2,43.9
01054,104688.0,3.2,55.1
01056,84838.0,4.2,59.4
01057,98508.0,5.0,57.1
01060,76848.0,12.0,65.1
01062,87588.0,7.4,58.8
01063,91344.0,0.0,41.0
01066,,84.2,11.0
01068,102000.0,1.9,59.1
01069,80190.0,4.8,56.6
01070,60536.0,6.9,59.5
01071,111042.0,1.0,62.9
01072,111667.0,1.6,57.1
01073,123125.0,1.5,66.8
01074,79583.0,0.0,68.8
01075,93910.0,6.0,60.6
01077,120462.0,1.1,65.9
01079,70588.0,9.5,59.8
01080,89063.0,1.7,71.1
01081,86979.0,3.5,62.0
01082,69018.0,7.7,52.5
01083,64032.0,8.6,63.9
01084,93125.0,0.0,72.6
01085,88728.0,6.3,59.8
01088,85368.0,0.0,82.6
01089,69371.0,7.9,62.4
01092,68614.0,0.0,57.1
01093,110909.0,0.0,63.1
01094,,0.0,36.6
01095,122330.0,1.7,62.0
01096,104375.0,1.9,70.1
01097,,0.0,45.5
01098,96250.0,0.9,56.3
01103,21355.0,36.4,54.5
01104,50154.0,19.2,51.0
01105,24036.0,47.1,41.0
01106,147935.0,3.7,56.0
01107,35632.0,30.2,45.8
01108,50661.0,25.3,55.9
01109,48415.0,19.9,46.6
01118,80250.0,10.4,63.0
01119,57857.0,14.1,50.8
01128,100313.0,4.3,64.5
01129,97162.0,5.2,61.5
01144,,,
01151,55324.0,13.4,54.7
01201,71093.0,9.5,59.6
01220,58929.0,11.3,54.4
01222,71042.0,0.0,57.1
01223,86818.0,1.9,57.4
01224,76222.0,0.0,89.0
01225,69803.0,7.1,52.4
01226,79438.0,6.6,52.3
01229,,0.0,47.1
01230,86694.0,2.6,58.6
01235,79327.0,0.7,63.1
01236,111250.0,2.4,67.3
01237,90898.0,4.6,61.2
01238,84591.0,2.1,57.1
01240,107826.0,3.9,49.0
01242,,,0.0
01243,91250.0,7.3,63.3
01244,75833.0,0.0,49.8
01245,136875.0,0.0,48.1
01247,52330.0,9.5,52.3
01253,116806.0,0.8,70.5
01254,125893.0,1.3,55.1
01255,91111.0,0.8,63.3
01256,61328.0,9.7,53.6
01257,102788.0,1.8,67.7
01258,142500.0,0.0,58.0
01259,158125.0,0.0,64.4
01260,,0.0,100.0
01262,145750.0,3.3,58.4
01264,93750.0,3.2,53.3
01266,100417.0,7.3,61.0
01267,106375.0,6.0,55.7
01270,116375.0,0.0,65.1
01301,56176.0,9.5,54.8
01330,83493.0,6.6,58.2
01331,72181.0,11.6,58.7
01337,85045.0,1.9,63.4
01338,50521.0,0.0,60.0
01339,68365.0,5.2,46.9
01340,78804.0,1.8,59.1
01341,97417.0,2.2,63.5
01342,109205.0,18.0,68.3
01343,69375.0,9.6,50.0
01344,77656.0,2.7,63.2
01346,113650.0,2.8,70.5
01347,72467.0,0.0,81.6
01349,75033.0,13.5,65.2
01350,,27.6,33.3
01351,98229.0,4.8,55.7
01354,90208.0,3.8,64.2
01355,82713.0,11.1,70.5
01360,103375.0,2.9,62.4
01364,55532.0,15.3,52.5
01366,110750.0,4.2,53.1
01367,72813.0,7.3,50.9
01368,102500.0,5.8,58.9
01370,81008.0,6.4,54.4
01373,106413.0,5.8,68.2
01375,68083.0,0.0,67.2
01376,55652.0,9.2,62.7
01378,93333.0,2.1,60.6
01379,59583.0,10.9,53.6
01380,73472.0,,66.7
01420,72780.0,12.4,61.7
01430,118683.0,4.8,56.8
01431,115598.0,1.8,64.7
01432,101966.0,6.1,69.2
01434,162143.0,2.9,21.9
01436,77721.0,6.9,54.4
01438,,0.0,75.3
01440,67440.0,10.9,54.7
01450,193292.0,2.1,66.3
01451,214792.0,2.6,64.8
01452,123500.0,1.5,65.0
01453,84296.0,5.9,63.5
01460,149722.0,4.3,64.6
01462,112992.0,2.2,63.9
01463,123911.0,3.7,65.8
01464,122365.0,3.9,49.8
01468,113427.0,6.4,66.3
01469,103801.0,8.0,64.1
01473,106331.0,0.7,62.9
01474,136371.0,4.6,63.2
01475,76552.0,13.1,56.5
01501,116762.0,4.4,65.5
01503,121336.0,1.0,63.6
01504,94191.0,4.5,67.6
01505,140962.0,2.2,62.4
01506,81250.0,2.1,60.6
01507,117587.0,1.4,62.9
01510,89781.0,6.5,69.8
01515,81042.0,6.7,58.9
01516,153172.0,2.7,66.6
01518,136111.0,8.2,68.5
01519,178263.0,4.6,69.6
01520,148125.0,2.4,64.9
01521,91979.0,2.5,59.2
01522,100625.0,3.8,58.9
01523,134833.0,1.7,54.7
01524,102099.0,4.5,65.1
01525,,,
01527,118790.0,2.6,65.4
01529,127188.0,1.7,71.4
01531,99500.0,5.9,54.3
01532,153199.0,2.5,67.0
01534,141250.0,2.3,67.7
01535,79285.0,11.8,67.8
01536,115938.0,3.8,62.9
01537,102956.0,3.9,72.4
01540,110579.0,4.8,62.1
01541,158750.0,4.8,68.6
01542,96111.0,1.0,53.8
01543,145707.0,0.4,62.5
01545,139302.0,2.2,65.5
01550,66287.0,10.8,61.3
01560,107031.0,3.0,73.0
01561,,,
01562,80533.0,3.2,57.1
01564,129063.0,3.3,61.9
01566,137730.0,0.5,65.2
01568,160417.0,1.4,63.5
01569,124222.0,1.0,67.5
01570,72895.0,9.9,61.4
01571,84604.0,5.3,57.3
01581,141944.0,3.8,66.4
01583,106094.0,2.4,55.1
01585,87857.0,6.2,56.3
01588,92486.0,12.7,68.2
01590,147015.0,5.5,73.1
01602,91764.0,10.7,65.0
01603,66049.0,12.6,62.4
01604,73505.0,16.0,64.2
01605,54642.0,16.7,55.9
01606,92105.0,6.1,68.5
01607,78727.0,6.3,65.1
01608,45687.0,39.0,56.2
01609,68381.0,8.8,53.3
01610,51472.0,22.6,55.9
01611,109868.0,4.0,71.1
01612,134083.0,0.8,63.7
01701,137094.0,2.9,68.2
01702,82496.0,11.1,68.9
01718,104167.0,0.0,56.5
01719,144611.0,1.7,71.2
01720,159010.0,1.5,66.7
01721,127539.0,2.4,67.1
01730,172400.0,3.4,63.4
01731,104688.0,0.0,30.0
01740,205449.0,2.2,67.8
01741,,0.0,59.9
01742,195125.0,3.6,50.8
01745,185994.0,0.0,66.7
01746,159817.0,1.7,66.4
01747,115722.0,0.9,66.2
01748,222801.0,2.0,71.9
01749,103400.0,2.8,64.0
01752,91968.0,6.6,68.3
01754,124067.0,8.1,67.3
01756,132256.0,4.1,65.9
01757,96621.0,4.0,67.6
01760,138563.0,3.1,67.7
01770,,2.9,66.3
01772,201568.0,3.5,68.7
01773,209327.0,2.9,52.6
01775,185809.0,4.0,66.3
01776,236509.0,2.5,61.1
01778,219375.0,4.1,64.1
01801,111185.0,5.3,67.9
01803,146436.0,3.2,64.2
01810,172606.0,1.2,66.7
01821,149042.0,2.9,69.7
01824,140050.0,3.6,63.4
01826,114196.0,5.8,64.8
01827,208512.0,0.5,70.6
01830,78571.0,9.7,61.2
01832,83041.0,9.6,64.1
01833,153750.0,3.4,65.5
01834,141487.0,3.2,67.8
01835,113578.0,4.5,72.2
01840,42211.0,18.3,60.2
01841,56971.0,15.4,59.3
01843,67585.0,11.6,70.2
