zip_code,State,county_name,home_value
90011,CA,Los Angeles County,602357.175498667
90650,CA,Los Angeles County,765319.9534265143
91331,CA,Los Angeles County,746908.7059688467
90044,CA,Los Angeles County,649172.5472427184
92336,CA,San Bernardino County,708488.5482079786
94565,CA,Contra Costa County,568819.917000181
92335,CA,San Bernardino County,568640.0636620087
90201,CA,Los Angeles County,692520.4727701754
90250,CA,Los Angeles County,881547.6404420314
90805,CA,Los Angeles County,715228.700110517
93307,CA,Kern County,318704.30332996906
90280,CA,Los Angeles County,698677.9890189696
91342,CA,Los Angeles County,809923.8651174136
92683,CA,Orange County,1098468.443252763
92503,CA,Riverside County,638996.9989563841
92345,CA,San Bernardino County,446484.19403394073
91911,CA,San Diego County,771343.3008816871
93033,CA,Ventura County,707186.9717137249
95076,CA,Santa Cruz County,842113.1433405653
92154,CA,San Diego County,741656.2241639361
92376,CA,San Bernardino County,568627.0688171247
92804,CA,Orange County,941973.0184240186
91710,CA,San Bernardino County,773693.7633190459
93722,CA,Fresno County,400364.48085084814
94112,CA,San Francisco County,1138143.9622546493
95823,CA,Sacramento County,428015.365963074
95035,CA,Santa Clara County,1487703.7493013267
91744,CA,Los Angeles County,743661.0510993745
92509,CA,Riverside County,637594.1519173026
93257,CA,Tulare County,328466.59103347006
93550,CA,Los Angeles County,451159.4358136838
92592,CA,Riverside County,775446.1042951642
95630,CA,Sacramento County,767870.0819241466
92880,CA,Riverside County,954586.8424462834
94544,CA,Alameda County,839519.6093694833
90706,CA,Los Angeles County,806238.272536337
93535,CA,Los Angeles County,429831.190380001
92704,CA,Orange County,892992.823213411
93274,CA,Tulare County,356153.52925725427
91335,CA,Los Angeles County,806018.562584573
94533,CA,Solano County,538303.3482887776
93536,CA,Los Angeles County,540020.9400417061
91709,CA,San Bernardino County,998905.3498328618
91910,CA,San Diego County,836880.8980362597
94513,CA,Contra Costa County,802462.0311733034
93727,CA,Fresno County,431709.42692058097
91706,CA,Los Angeles County,722748.6175941742
90003,CA,Los Angeles County,607194.401805317
92126,CA,San Diego County,1006657.9781129508
92553,CA,Riverside County,519788.4823456277
93306,CA,Kern County,349460.28207821335
93230,CA,Kings County,382456.2392929062
95747,CA,Placer County,670901.5267101385
94536,CA,Alameda County,1463283.297472331
92563,CA,Riverside County,696062.1896978695
90255,CA,Los Angeles County,674049.6606444066
92105,CA,San Diego County,693871.7238589929
92021,CA,San Diego County,773401.1302986867
91730,CA,San Bernardino County,680188.812058654
94110,CA,San Francisco County,1349590.8425150728
94509,CA,Contra Costa County,540119.195853484
93065,CA,Ventura County,843654.7724614505
95687,CA,Solano County,581436.6990286618
92882,CA,Riverside County,785944.4696110674
94558,CA,Napa County,913913.5766030968
94538,CA,Alameda County,1342015.899661599
91766,CA,Los Angeles County,688391.2305981468
92805,CA,Orange County,861100.5082956479
90631,CA,Orange County,941713.3730539076
90026,CA,Los Angeles County,1188465.066844561
94587,CA,Alameda County,1265023.007357808
92801,CA,Orange County,864765.6467695987
95624,CA,Sacramento County,640186.2074999275
91402,CA,Los Angeles County,708597.0391168607
95123,CA,Santa Clara County,1396785.9077833246
92114,CA,San Diego County,746124.1478632767
94541,CA,Alameda County,785828.3188996358
90262,CA,Los Angeles County,689600.734469404
90037,CA,Los Angeles County,667930.7622412378
92407,CA,San Bernardino County,543579.7941305909
93906,CA,Monterey County,712532.0957989763
94080,CA,San Mateo County,1235840.0661614882
92703,CA,Orange County,825597.8265172197
95020,CA,Santa Clara County,1076207.07312661
92404,CA,San Bernardino County,484580.3237881162
90022,CA,Los Angeles County,682109.1843873914
91761,CA,San Bernardino County,692099.3908133754
91977,CA,San Diego County,766182.8990708948
92677,CA,Orange County,1499599.0613418731
92630,CA,Orange County,1204258.5862060054
95758,CA,Sacramento County,577513.1046109187
92346,CA,San Bernardino County,561809.1091850637
90731,CA,Los Angeles County,829872.9897163253
95206,CA,San Joaquin County,420410.7952840653
95608,CA,Sacramento County,574495.0404461148
91343,CA,Los Angeles County,889935.0881607756
92201,CA,Riverside County,471586.84972256445
92562,CA,Riverside County,690264.2755258194
94806,CA,Contra Costa County,579789.6517006414
92392,CA,San Bernardino County,451083.8878174851
92627,CA,Orange County,1378739.1130422875
94015,CA,San Mateo County,1187049.5814236624
93309,CA,Kern County,348053.08408886427
90001,CA,Los Angeles County,593881.1942944229
90640,CA,Los Angeles County,827914.1459401582
92020,CA,San Diego County,842711.5270120917
93905,CA,Monterey County,667697.3432317252
94501,CA,Alameda County,1151435.9181915915
95127,CA,Santa Clara County,1119901.982853086
90660,CA,Los Angeles County,753254.542004933
95014,CA,Santa Clara County,3182391.867584387
92115,CA,San Diego County,870874.7528577098
95828,CA,Sacramento County,456124.8906232289
93313,CA,Kern County,416304.73630108545
92571,CA,Riverside County,530446.8802649592
90019,CA,Los Angeles County,1243555.1057513943
91702,CA,Los Angeles County,715161.0792747621
92324,CA,San Bernardino County,500853.35086052475
93291,CA,Tulare County,428240.6480586224
95051,CA,Santa Clara County,1932904.8245317556
92647,CA,Orange County,1249305.4679527904
94568,CA,Alameda County,1298363.2358308395
92530,CA,Riverside County,565461.9706031908
95111,CA,Santa Clara County,1077317.2752189692
94122,CA,San Francisco County,1634385.5314262602
95355,CA,Stanislaus County,491591.83364317234
92071,CA,San Diego County,807791.3986721874
90004,CA,Los Angeles County,1450674.51456163
94087,CA,Santa Clara County,2898234.5551654864
92027,CA,San Diego County,777387.0344233386
91770,CA,Los Angeles County,916261.8441220332
92570,CA,Riverside County,581085.7672594473
90042,CA,Los Angeles County,1015295.7485113275
92507,CA,Riverside County,610384.7962435122
92584,CA,Riverside County,631563.0780569651
93436,CA,Santa Barbara County,588314.1820759828
91732,CA,Los Angeles County,766042.6582500587
92780,CA,Orange County,1141197.6074298392
95670,CA,Sacramento County,488577.4232208717
91950,CA,San Diego County,697054.6195952017
95112,CA,Santa Clara County,1024493.138026447
94591,CA,Solano County,591387.4765494695
92223,CA,Riverside County,537887.4994341529
92708,CA,Orange County,1388331.1987301894
90006,CA,Los Angeles County,757348.2180237757
92620,CA,Orange County,1726820.1740399264
92130,CA,San Diego County,2121589.954626705
93030,CA,Ventura County,780828.499083175
92707,CA,Orange County,831960.5539130805
90066,CA,Los Angeles County,1740801.303636219
91764,CA,San Bernardino County,633774.98788008
95125,CA,Santa Clara County,1916050.5597801737
93458,CA,Santa Barbara County,607112.4775738595
92504,CA,Riverside County,604314.3100835558
93215,CA,Kern County,333850.6574879309
93063,CA,Ventura County,836646.1417413218
90813,CA,Los Angeles County,588877.3604724951
90744,CA,Los Angeles County,684715.9952832762
95023,CA,San Benito County,761922.9928990776
94109,CA,San Francisco County,1022825.9089339498
92129,CA,San Diego County,1384637.126630948
91786,CA,San Bernardino County,724294.3425442418
